instrument,file,rms,attack_time_s,hnr_proxy_db,tempo_est_bpm,onset_rate_s,centroid_mean,centroid_std,centroid_median,bandwidth_mean,bandwidth_std,bandwidth_median,rolloff_mean,rolloff_std,rolloff_median,flatness_mean,flatness_std,flatness_median,flux_mean,flux_std,flux_median,zcr_mean,zcr_std,zcr_median,contrast_mean,contrast_std,contrast_median,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,chroma0_mean,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean
bass,bass.wav,0.09258637577295303,0.04480725623582767,,30.046329941860463,0.59999999988,556.5289880958356,557.4025213308631,484.28897662831673,1068.783123672041,513.1406077642455,962.0923275030182,697.0876057942709,1145.7677459328327,516.796875,0.06027176231145859,0.2378084510564804,3.270103479735553e-05,0.25849679112434387,1.070807695388794,0.05613593012094498,0.02540192780671296,0.022001795262884694,0.0234375,24.192998374132408,10.468325030466717,20.631414465246483,-575.79345703125,55.266578674316406,66.39900970458984,37.708824157714844,33.11006164550781,14.724787712097168,21.999893188476562,10.75060749053955,17.326793670654297,8.780098915100098,10.571998596191406,8.319275856018066,7.464004039764404,8.263734817504883,8.683045387268066,4.208974838256836,6.54946231842041,3.6672258377075195,2.071073293685913,3.9639313220977783,1.0116740465164185,3.3386266231536865,1.5553048849105835,2.3504064083099365,-0.6006100177764893,2.5940563678741455,0.8262104392051697,0.41350632905960083,0.0752752274274826,0.049066416919231415,0.04435952380299568,0.05266153812408447,0.10788934677839279,0.20968656241893768,0.26383644342422485,0.30776143074035645,0.19301268458366394,0.28992000222206116
drums,drums.wav,0.0999845638871193,0.050839002267573694,,30.046329941860463,0.59999999988,728.9213323273092,859.336695756576,458.97470840166545,1433.5639452837609,785.2075796608292,1315.2311149651177,1183.9274088541667,2084.114395021475,193.798828125,0.08891617506742477,0.28302064538002014,3.0999093723949045e-05,0.6441242694854736,2.555373430252075,0.05023984983563423,0.011461046006944444,0.013335757024230892,0.00927734375,20.27625090223542,10.921505291523609,15.771078922179964,-563.6234741210938,90.58011627197266,51.65210723876953,37.96632766723633,20.483049392700195,13.338708877563477,26.993276596069336,15.325801849365234,18.733718872070312,10.089348793029785,18.145694732666016,7.67241096496582,14.17275619506836,6.663492202758789,13.453434944152832,5.967563152313232,11.395478248596191,5.172842025756836,10.544225692749023,4.659867763519287,10.661969184875488,4.71644401550293,9.322737693786621,3.9564363956451416,7.528806209564209,4.242815017700195,0.40435487031936646,0.3189844787120819,0.2594800293445587,0.17734171450138092,0.12951603531837463,0.22775642573833466,0.490230917930603,0.6272030472755432,0.7219005227088928,0.5382643342018127,0.40638336539268494,0.436568021774292
flute,flute.wav,0.09999999403953552,0.2686167800453515,,30.046329941860463,3.7999999992399998,549.7653870242142,278.2787990607647,515.9288438774429,763.2650152144188,259.4305663479747,717.9064931857963,706.6579182942709,596.8895515312132,538.330078125,0.004676286596804857,0.06788229942321777,2.343245114388992e-06,0.7170012593269348,0.18956150114536285,0.7551931142807007,0.024129231770833332,0.0045406096780978445,0.02392578125,27.789780433942397,10.111287278151487,28.224538472057297,-483.181640625,31.42934799194336,107.66661071777344,16.676158905029297,-9.160386085510254,9.506570816040039,10.636157035827637,3.9085781574249268,13.906379699707031,3.5496654510498047,-6.231081008911133,3.4753565788269043,-6.767941951751709,3.9722702503204346,-13.463146209716797,3.5328075885772705,-16.369070053100586,3.364917278289795,-13.940531730651855,3.630481243133545,-15.655708312988281,4.028100967407227,-13.885170936584473,3.6903152465820312,-9.643682479858398,3.094400644302368,0.9993975758552551,0.3986404538154602,0.0157199464738369,0.0036954733077436686,0.003980032633990049,0.0033591631799936295,0.0033334102481603622,0.0073140342719852924,0.003962572198361158,0.004648507572710514,0.014019525609910488,0.24640901386737823
piano,piano.wav,0.09999999403953552,0.060136054421768705,,30.046329941860463,0.59999999988,807.1154839036731,211.60860322789316,803.5273645357706,840.3461512070246,175.0966814677992,828.8124037546661,1379.3212890625,522.3103399258314,1324.2919921875,0.0046436539851129055,0.06788284331560135,1.9801318558165804e-06,0.43291205167770386,0.9896141290664673,0.23656520247459412,0.04095458984375,0.01906960228827413,0.03369140625,33.460890452789606,10.268477401523043,36.243448231245544,-477.7089538574219,59.1257438659668,97.31880950927734,23.048377990722656,-21.068349838256836,11.139213562011719,15.213065147399902,16.86290740966797,13.299335479736328,6.149263858795166,-6.228623390197754,6.165711402893066,-1.9551821947097778,7.057117938995361,-3.9594790935516357,8.032973289489746,-0.7656128406524658,3.330815315246582,-4.851984024047852,4.642463684082031,-15.601624488830566,5.757349491119385,-8.96686840057373,3.7994472980499268,-1.998914122581482,5.16367244720459,0.9815232753753662,0.36268725991249084,0.019088802859187126,0.010027533397078514,0.023897511884570122,0.008465627208352089,0.03722439706325531,0.3138163983821869,0.08189906179904938,0.010164778679609299,0.025680312886834145,0.20448698103427887
trumpet,trumpet.wav,0.10000000149011612,0.07269841269841269,,99.38401442307692,0.59999999988,2297.8999190680875,117.53964359627234,2281.265667473339,1608.8841242154979,73.51566684899511,1593.648305863503,3776.2359619140625,247.47353529608782,3671.4111328125,0.001498479163274169,0.01173119805753231,0.0005016073118895292,2.3139796257019043,1.3694227933883667,2.1294546127319336,0.10512062355324074,0.012767367889668186,0.1005859375,31.92767114000314,13.085138287550755,29.15542777905371,-216.6280517578125,31.74346160888672,20.889808654785156,12.5972318649292,-92.95870971679688,7.828332424163818,20.639150619506836,5.1702070236206055,-21.53925323486328,4.490026950836182,-2.983593463897705,2.1702818870544434,-25.045896530151367,2.584395170211792,-3.4495413303375244,1.5893343687057495,-18.275096893310547,2.2727200984954834,-6.777359485626221,1.74232017993927,-15.546793937683105,2.3192710876464844,-9.910228729248047,2.399502992630005,-11.211730003356934,1.6698479652404785,0.9924534559249878,0.20917966961860657,0.23177196085453033,0.12919585406780243,0.3055250942707062,0.08962298929691315,0.19109994173049927,0.8554758429527283,0.17835673689842224,0.17207227647304535,0.26967906951904297,0.21045465767383575
