instrument,file,rms,attack_time_s,hnr_proxy_db,tempo_est_bpm,onset_rate_s,centroid_mean,centroid_std,centroid_median,bandwidth_mean,bandwidth_std,bandwidth_median,rolloff_mean,rolloff_std,rolloff_median,flatness_mean,flatness_std,flatness_median,flux_mean,flux_std,flux_median,zcr_mean,zcr_std,zcr_median,contrast_mean,contrast_std,contrast_median,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,chroma0_mean,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean
bass,Track10_Bass.wav,0.10000000149011612,0.027573696145124716,,60.09265988372093,2.9999999994,128.83359640316715,44.02655467436239,123.67658444590165,350.1419087701413,159.53563451055996,307.29684329424435,169.27490234375,49.30249612864985,161.4990234375,2.377928240093752e-06,2.707383464439772e-05,2.0421927615643654e-07,0.20565107464790344,0.38955727219581604,0.05538720637559891,0.006447120949074074,0.0013670248255905858,0.00634765625,21.24189775143832,7.775002659418557,19.560527869627258,-563.2368774414062,25.98615264892578,96.34674835205078,26.07735824584961,70.28203582763672,11.08694839477539,46.585140228271484,9.149846076965332,31.38807487487793,6.623292922973633,21.777647018432617,5.575784206390381,14.36212158203125,5.547584533691406,8.875909805297852,5.781639099121094,6.286035537719727,5.050423622131348,6.2854695320129395,3.339364528656006,7.125761985778809,3.1064419746398926,7.637011528015137,3.2234034538269043,7.472655296325684,4.0152907371521,0.4539175033569336,0.5700749158859253,0.7110068202018738,0.71242755651474,0.6101400852203369,0.5538440346717834,0.526439905166626,0.47311970591545105,0.36990973353385925,0.32820799946784973,0.34013426303863525,0.38664430379867554
bass,Track11_Bass.wav,0.10000000149011612,0.026485260770975058,,80.74951171875,2.7999999994399998,148.4497331954528,67.31325820634677,133.0042471839253,322.07075765300556,175.9586162174461,254.78899575227754,187.86722819010416,92.74357726199688,150.732421875,5.165245511307148e-06,6.542192568304017e-05,3.440670326426698e-08,0.2230048030614853,0.4871135950088501,0.0497058629989624,0.007862232349537037,0.001729452054494663,0.00732421875,23.064724023601855,7.543448238571482,22.60477650463254,-553.2244873046875,26.84783172607422,104.85499572753906,22.07669448852539,68.81028747558594,9.819558143615723,40.5518798828125,11.299960136413574,25.688282012939453,8.036009788513184,17.73946189880371,6.02936315536499,12.236342430114746,5.466035842895508,7.722448348999023,4.988397598266602,5.170792102813721,5.137320518493652,5.984766006469727,4.592807769775391,8.450529098510742,3.391573667526245,10.048192977905273,2.9738070964813232,10.205254554748535,3.160313129425049,0.22165228426456451,0.3428681790828705,0.5878931879997253,0.6996111273765564,0.5905959010124207,0.5107434391975403,0.361813485622406,0.28449657559394836,0.22157928347587585,0.19253453612327576,0.1611584573984146,0.18237951397895813
bass,Track12_Bass.wav,0.10000000149011612,0.5155555555555555,,80.74951171875,3.7999999992399998,147.2219500243364,86.90962194064004,132.05970694619478,359.61461561706943,187.3672953183518,317.2132690474898,164.53959147135416,165.4220146881662,145.34912109375,1.686160612734966e-05,0.00022396691201720387,1.1324945603519154e-07,0.2812308669090271,0.4908643662929535,0.07759633660316467,0.00722023292824074,0.0013978314086558565,0.00732421875,21.759163333641606,7.524096282045381,19.771011052668726,-553.43798828125,27.771493911743164,102.10728454589844,22.511396408081055,63.492008209228516,9.406754493713379,37.302127838134766,10.463499069213867,25.96271514892578,4.888125896453857,20.02164649963379,5.046152591705322,15.082926750183105,5.037998199462891,10.944969177246094,4.4245991706848145,8.823190689086914,3.4182639122009277,7.745902061462402,3.015108585357666,6.585028171539307,3.510451078414917,6.264450550079346,2.979424238204956,6.703466415405273,2.6051816940307617,0.4218076467514038,0.40912893414497375,0.449110746383667,0.4888262450695038,0.5065274238586426,0.561980664730072,0.46260082721710205,0.3584747314453125,0.2661358416080475,0.21503154933452606,0.260837584733963,0.35825252532958984
bass,Track13_Bass.wav,0.10000000149011612,0.5493877551020409,,60.09265988372093,4.19999999916,148.8854254020581,86.17632578726896,126.88769786244285,368.94693954390146,193.0676620739602,331.73980191465864,184.82666015625,165.3282737417609,150.732421875,8.451504072581884e-06,9.851157665252686e-05,1.4198852227309544e-07,0.27075740694999695,0.471990704536438,0.06653543561697006,0.0078125,0.0018130322061096946,0.0078125,20.98218427065745,7.709718631350653,18.720704200906553,-562.476806640625,27.87381362915039,93.52330780029297,23.842578887939453,64.02651977539062,11.20783519744873,43.63192367553711,11.519265174865723,31.296817779541016,8.685802459716797,20.911970138549805,7.871704578399658,13.711600303649902,8.015159606933594,9.921448707580566,5.498960018157959,8.115203857421875,4.036561012268066,7.606640815734863,2.992546558380127,6.797101974487305,3.0686538219451904,5.504666328430176,3.2462918758392334,4.971200466156006,2.794443130493164,0.38079413771629333,0.35656991600990295,0.35957929491996765,0.3730583190917969,0.4004739224910736,0.4598773717880249,0.5054281949996948,0.604287326335907,0.5738945603370667,0.4880690276622772,0.40501344203948975,0.39051178097724915
bass,Track14_Bass.wav,0.09999999403953552,0.029342403628117915,,60.09265988372093,4.39999999912,154.02367248024942,62.99490592251551,137.0622067461841,386.86445101955167,231.7963510395511,290.9087754734068,178.79536946614584,52.242117271932656,161.4990234375,3.370226750121219e-06,2.1972833565087058e-05,1.1273505151621066e-07,0.2762399911880493,0.48094528913497925,0.0771259218454361,0.007080078125,0.0012519510372411378,0.0068359375,22.06154972431707,7.875041383398103,20.079295268771034,-548.6167602539062,25.143991470336914,108.39923095703125,19.508033752441406,68.97299194335938,11.177656173706055,40.97727966308594,11.34458065032959,25.95271873474121,7.9855732917785645,17.34899139404297,5.556727886199951,12.568351745605469,4.70522403717041,8.358059883117676,3.4002866744995117,5.536108016967773,4.58021879196167,6.299639701843262,3.6419084072113037,7.83868408203125,3.5417051315307617,8.333614349365234,3.8305130004882812,8.993111610412598,3.3429222106933594,0.5158969163894653,0.5932909846305847,0.7322338223457336,0.7492683529853821,0.5808299779891968,0.46706244349479675,0.3876132369041443,0.36301571130752563,0.3404370844364166,0.2673685550689697,0.26598602533340454,0.38854020833969116
bass,Track1_Bass.wav,0.10000000149011612,0.014603174603174604,,117.45383522727273,3.19999999936,210.81103050327056,72.34477673774188,189.562105396121,441.8215775904814,176.35780258984232,397.3870177809317,285.0657145182292,141.2556352797909,236.865234375,3.5862117329088505e-06,1.8824272046913393e-05,4.2639084085749346e-07,0.3163873553276062,0.6299447417259216,0.07120737433433533,0.009969075520833334,0.002796784910759488,0.009765625,24.17582946167269,8.274305180626154,23.61515358296994,-536.30224609375,28.349828720092773,116.57173919677734,19.942501068115234,61.269287109375,11.585025787353516,27.431848526000977,10.673194885253906,17.13301658630371,7.920839786529541,13.20462417602539,5.791850566864014,9.255901336669922,6.262824058532715,5.123025417327881,5.103053569793701,2.1294045448303223,4.033596515655518,2.669987678527832,3.489546298980713,5.548659801483154,4.084155082702637,8.17730712890625,3.715494155883789,9.045656204223633,3.36016583442688,0.2152305692434311,0.1611708253622055,0.17095687985420227,0.20041167736053467,0.2674866020679474,0.3780563473701477,0.3373851776123047,0.348314106464386,0.4890892505645752,0.5905246138572693,0.4888658821582794,0.3619949221611023
bass,Track2_Bass.wav,0.10000000149011612,0.058458049886621316,35.72304153442383,234.90767045454547,3.39999999932,133.35037905738338,87.02706187935583,117.09784032220973,416.1835922169287,202.07655582896712,371.9141145978399,179.34366861979166,188.51042065096337,161.4990234375,1.0675084922695532e-05,0.00013838599261362106,3.010653415458364e-07,0.2444419115781784,0.43057480454444885,0.07004158198833466,0.008574309172453705,0.02491389248717954,0.00537109375,20.449059402088206,7.914101744464882,18.032303416690333,-564.7230834960938,26.895883560180664,92.61552429199219,23.9670352935791,66.97465515136719,10.58934211730957,46.59520721435547,8.824389457702637,33.04124069213867,7.390547752380371,23.170852661132812,6.350799560546875,16.105993270874023,4.87837553024292,10.647039413452148,4.752881050109863,6.5754170417785645,5.344542980194092,4.875492095947266,4.565947532653809,4.738616943359375,3.6630074977874756,5.07961368560791,2.831702470779419,5.621845245361328,2.2937793731689453,0.5713987946510315,0.561698853969574,0.6187251210212708,0.6699984073638916,0.6833396553993225,0.6699531674385071,0.5264503359794617,0.44068312644958496,0.44051024317741394,0.46594372391700745,0.513411283493042,0.5640624165534973
bass,Track3_Bass.wav,0.10000000149011612,0.027482993197278913,,143.5546875,4.19999999916,143.59869455809292,157.8355281176124,107.94131804111963,356.5241958117105,240.6215490500496,315.05463451064406,203.31929524739584,383.71666776182695,139.9658203125,0.00014499688404612243,0.0019681453704833984,1.123002633107717e-07,0.21713612973690033,0.3840024769306183,0.05227549374103546,0.007554796006944444,0.0020339173774630874,0.007080078125,20.064223764160893,7.672332895369799,17.585885947713408,-571.7799682617188,29.236391067504883,83.44744873046875,23.79172706604004,61.502384185791016,11.955798149108887,45.59614562988281,11.174772262573242,34.98920822143555,9.39869499206543,25.363204956054688,9.980481147766113,17.72620391845703,9.95339298248291,12.815954208374023,6.967635631561279,9.779145240783691,5.022868633270264,8.249743461608887,3.713871479034424,7.093167781829834,3.121429443359375,5.689133644104004,3.020174026489258,4.595069408416748,2.312828779220581,0.4717731773853302,0.5047306418418884,0.5887081623077393,0.6257056593894958,0.5536715984344482,0.5150136351585388,0.45579609274864197,0.42810654640197754,0.3953424394130707,0.3350532054901123,0.2972188889980316,0.3766920268535614
bass,Track4_Bass.wav,0.10000000149011612,0.01147392290249433,,80.74951171875,2.9999999994,344.68997151816774,103.261846929192,328.06120015254805,553.7614210883507,125.41929243545806,540.9831151723854,543.2149251302084,193.5099763314904,495.263671875,5.849378794664517e-06,2.056533412542194e-05,1.7317775018454995e-06,0.40859144926071167,0.7887818813323975,0.09834709763526917,0.020372178819444444,0.009476242949761486,0.016845703125,25.428039729552136,8.629890061765096,24.57668657138182,-521.0332641601562,28.66816520690918,123.59346008300781,20.697900772094727,44.575782775878906,7.490718364715576,7.297424793243408,4.959054470062256,8.610213279724121,12.529773712158203,10.61182975769043,9.479207038879395,5.468277454376221,6.238221168518066,1.6930036544799805,4.554976940155029,1.1133027076721191,5.507205009460449,2.3602962493896484,4.588810920715332,4.365767002105713,3.3571276664733887,6.692655563354492,3.9821929931640625,8.037296295166016,4.979496955871582,0.39244750142097473,0.1826329529285431,0.149680495262146,0.2337302416563034,0.29351726174354553,0.22933395206928253,0.2030082643032074,0.13158558309078217,0.16429366171360016,0.267970472574234,0.5691205263137817,0.6306136846542358
bass,Track5_Bass.wav,0.09999999403953552,0.014331065759637189,46.13885498046875,117.45383522727273,2.7999999994399998,262.69573029752286,99.17766792402585,238.4151345365105,484.73855692889424,165.28748382561008,484.3799134097537,398.4639485677083,213.49735919749256,376.8310546875,6.715760264341952e-06,6.397745892172679e-05,1.152861159425811e-06,0.2855478525161743,0.5492299199104309,0.07194268703460693,0.011207863136574073,0.0025318569605628036,0.01123046875,25.42221415213997,8.25804029969814,25.59096371785513,-535.033447265625,24.797664642333984,115.56857299804688,17.95610237121582,54.550262451171875,12.069458961486816,19.703994750976562,13.6255521774292,13.841972351074219,10.190803527832031,12.710315704345703,4.953619003295898,8.423312187194824,4.642392635345459,4.533174514770508,4.540648937225342,1.7945104837417603,4.81793737411499,0.8966861367225647,3.9729299545288086,3.4275903701782227,4.092558860778809,7.621965408325195,3.3160765171051025,8.412711143493652,4.65716552734375,0.4927274286746979,0.2194235771894455,0.09754110127687454,0.07133916765451431,0.10648086667060852,0.1707252711057663,0.3362085819244385,0.4672223627567291,0.3697119951248169,0.3154338300228119,0.3626646101474762,0.47707799077033997
